pickup_datetime,passenger_count
2018-01-01 00:00:00,28630
2018-01-01 01:00:00,32778
2018-01-01 02:00:00,27966
2018-01-01 03:00:00,21243
2018-01-01 04:00:00,14822
2018-01-01 05:00:00,7109
2018-01-01 06:00:00,5425
2018-01-01 07:00:00,5498
2018-01-01 08:00:00,5894
2018-01-01 09:00:00,8202
2018-01-01 10:00:00,11713
2018-01-01 11:00:00,17166
2018-01-01 12:00:00,19968
2018-01-01 13:00:00,20510
2018-01-01 14:00:00,21486
2018-01-01 15:00:00,23165
2018-01-01 16:00:00,21936
2018-01-01 17:00:00,21877
2018-01-01 18:00:00,20362
2018-01-01 19:00:00,18024
2018-01-01 20:00:00,14496
2018-01-01 21:00:00,15444
2018-01-01 22:00:00,13603
2018-01-01 23:00:00,9073
2018-01-02 00:00:00,6025
2018-01-02 01:00:00,2879
2018-01-02 02:00:00,1959
2018-01-02 03:00:00,1539
2018-01-02 04:00:00,2044
2018-01-02 05:00:00,4576
2018-01-02 06:00:00,10681
2018-01-02 07:00:00,16804
2018-01-02 08:00:00,21574
2018-01-02 09:00:00,21010
2018-01-02 10:00:00,19606
2018-01-02 11:00:00,20353
2018-01-02 12:00:00,21275
2018-01-02 13:00:00,21792
2018-01-02 14:00:00,23388
2018-01-02 15:00:00,23832
2018-01-02 16:00:00,23183
2018-01-02 17:00:00,26242
2018-01-02 18:00:00,28525
2018-01-02 19:00:00,23317
2018-01-02 20:00:00,20225
2018-01-02 21:00:00,19708
2018-01-02 22:00:00,17246
2018-01-02 23:00:00,10664
2018-01-03 00:00:00,7408
2018-01-03 01:00:00,4125
2018-01-03 02:00:00,2521
2018-01-03 03:00:00,1845
2018-01-03 04:00:00,2201
2018-01-03 05:00:00,4222
2018-01-03 06:00:00,11333
2018-01-03 07:00:00,18514
2018-01-03 08:00:00,23394
2018-01-03 09:00:00,23020
2018-01-03 10:00:00,21628
2018-01-03 11:00:00,21772
2018-01-03 12:00:00,22490
2018-01-03 13:00:00,22960
2018-01-03 14:00:00,24904
2018-01-03 15:00:00,24504
2018-01-03 16:00:00,23578
2018-01-03 17:00:00,27174
2018-01-03 18:00:00,30377
2018-01-03 19:00:00,28259
2018-01-03 20:00:00,23857
2018-01-03 21:00:00,22669
2018-01-03 22:00:00,20950
2018-01-03 23:00:00,13799
2018-01-04 00:00:00,8902
2018-01-04 01:00:00,4485
2018-01-04 02:00:00,3027
2018-01-04 03:00:00,2004
2018-01-04 04:00:00,2111
2018-01-04 05:00:00,3477
2018-01-04 06:00:00,7974
2018-01-04 07:00:00,10698
2018-01-04 08:00:00,11961
2018-01-04 09:00:00,10520
2018-01-04 10:00:00,9431
2018-01-04 11:00:00,9199
2018-01-04 12:00:00,8650
2018-01-04 13:00:00,8802
2018-01-04 14:00:00,8924
2018-01-04 15:00:00,8388
2018-01-04 16:00:00,8272
2018-01-04 17:00:00,9766
2018-01-04 18:00:00,11587
